Nombre;Dirección;Código Postal;Teléfono;Fax;Email;Tipo de organización;Ámbito territorial;Sector de población;Ámbito de actuación;Actividades;Función principal;Función secundaria
ASOC TERAPIA Y GENERO;BIZKARGI                                                                                         24        3  IE;48002;944600406;;mariacarmenlorenzo@hotmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;SALUD,INTERVENCIÓN SOCIAL,SOCIEDAD;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,SERV. DE SALUD MENTAL,SERVICIO ATENCION A LA MUJER;PROMOCION;PROTECCION,EDUCAR,SOLIDARIDAD,CREACION DE OPINION,SERVICIOS A LOS CIUDADANOS,PREVENCION;
ASOC IKASLE ABERTZALEAK IKASLE EUSKALDUN EZKERTIAR ETA FEMINISTON ANTOLAKUNDEA ELKARTEA;RONDA                                                                                               22        1  DH;48005;622000295;;idazkaritza@ikasleabertzaleak.org;ASOCIACION;BILBAO,BIZKAIA,COMUNIDAD AUTONOMA Y  NAVARRA,INTERNACIONAL;JUVENTUD/ESTUDIANTES,MUJER,EUSKALDUNES,OTROS,GAYS Y/O LESBIANAS,HOMBRES;CULTURA,SOCIEDAD,EDUCACIÓN Y EMPLEO;PROYECCIONES,PUBLICACIONES,PROYECTOS DE COOPERACION,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,SENSIBILIZACION:CONCEN,MANIF,MEDIACION ESCOLAR;EDUCAR;SOLIDARIDAD,CREACION DE OPINION,NORMALIZACION,OTROS;
ASOC SOCIO CULTURAL NUEVO AMANECER;FIKA                                                                                                 61   Y;48006;672025437;;nuevoamanecer.asociacion@yahoo.es;ASOCIACION;COMUNIDAD AUTONOMA;MARGINADOS/EXCLUIDOS/AS,POBLACION EN GENERAL,PADRES Y MADRES/FAMILIAS,POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL,CULTURA;SERV.INFORMACION/ASESORAMIENTO,AYUDA SOCIAL,MEDIACION FAMILIAR;SOLIDARIDAD;CREACION ARTISTICA,REPRESENTACION Y/O DEFENSA;
ASOCIACION INSTITUTO REINTEGRACION SOCIAL DE EUSKADI-EUSKADIKO BIRGIZARTERATZE INSTITUTOA IRSE-EBI;TENDERIA                                                                                         28        1;48005;944792319;;irsebizkaia@hotmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL,INFANCIA Y JUVENTUD;INTERVENCIÓN SOCIAL;ASESORIA JURIDICA,TERAPIAS /REHABILITACION,SERVICIO ATENCION/ASISTENCIA;SERVICIOS A LOS CIUDADANOS;PREVENCION;
ASOC PARA LA PROMOCION DE HABITOS SALUDABLES -EUSKADI EN FORMA-;TRAUKO                                                                                             27        08 C;48007;610534079;;claudia-regina-severino@hotmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;TIEMPO LIBRE,CULTURA,DEPORTIVAS,SOCIEDAD;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,ACTIVIDADES DE ANIMACION,FIESTAS,LUGAR DE ENCUENTRO,VISITAS CULTURALES/EXCURSIONES,SENSIBILIZACION:CONCEN,MANIF,COLABORACION CON OTRAS ASOCIAC,CENTROS Y/O TALL.OCUPACIONALES,VISITAS GUIADAS,SERVICIOS SOCIOEDUCATIVOS,GRUPOS DE AUTOAPOYO,COMPETICIONES DEPORTIVAS;SERVICIOS A LOS CIUDADANOS;EDUCAR,PREVENCION;
ASOCIACION DE BAILE MODERNO SDS STYLES, DANCE STUDIO;AUTONOMIA                                                                                       62        04 D;48012;605736238;944223871;evausin@yahoo.es;ASOCIACION;INTERNACIONAL;INFANCIA Y JUVENTUD;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;CREACION ARTISTICA;;
ASOC DE CIRCO Y TEATRO ALCAMBALACHE;ZULOAGA IGNACIO PINTOR                                                             5;48014;638888410;;info@karolazirko.net;ASOCIACION;DISTRITO 1 DEUSTO;PROFESIONALES,JUVENTUD/ESTUDIANTES;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;CREACION ARTISTICA;EDUCAR;
ASOC COMPAÑIA DE DANZA Y ESCUELA DE DANZA DORIS PALAO;VILLABASO CAMILO                                                                         22        01 A;48002;625706546;;doris.palao@gmail.com;ASOCIACION;DISTRITO 7 REKALDE;POBLACION EN GENERAL;CULTURA,DEPORTIVAS,SOCIEDAD;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,ACTIVIDADES DE ANIMACION,FIESTAS,BAILES,COMPETICIONES DEPORTIVAS;CREACION ARTISTICA;SOLIDARIDAD;
OS AGARIMOS DE MASUSTEGUI DE BILBAO;MASUSTEGI                                                                                       202;48002;944275123;;;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;GRUPOS FOLKLORICOS;CREACION ARTISTICA;;
ASOC DE MUJERES EFULAN/LA UNION;ZABALA BRUNO MAURICIO                                                               19        BJ;48003;648883445;;;ASOCIACION;BILBAO;MUJER;INTERVENCIÓN SOCIAL,CULTURA;GRUPOS FOLKLORICOS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,ACOMPAÑAMIENTO,SERVICIO ATENCION/ASISTENCIA;SOLIDARIDAD;;
ASOC AHALBIDETU DE EMPRENDIZAJE DE LA EMPLEABILIDAD;FUNICULAR DEL                                                                               2         BJ;48007;656411546;;aprender1haciendo2@gmail.com;ASOCIACION;BILBAO;PARADOS/AS,JUVENTUD/ESTUDIANTES;BARRIO,EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS,PROG.INSERCION LABORAL Y/O SOC;PROMOCION;EDUCAR,SERVICIOS A LOS CIUDADANOS;
ASOC DE CULTURA ORIENTAL RAKS AL HAIA;07        02 C;;655746168;;raks-al-haia@yahoo.es;ASOCIACION;COMUNIDAD AUTONOMA;MUJER;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS,BAILES;CREACION ARTISTICA;;
ASOC DE AYUDA A LA INMIGRACION BEKEA CASAMENCE;SALCES ANSELMA DE                                                                       3         LJ;48007;632054153;;asociacion.bekeacasamence@hotmail.com;ASOCIACION;BIZKAIA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;AYUDA SOCIAL;SOLIDARIDAD;;
ASOC SOCIEDAD CULTURAL IBAIEDERTARRAK DE BILBAO;IBAIALDE                                                                                         1         LJ;48003;944151309;944157786;ibai.eder@live.com;ASOCIACION;DISTRITO 5 IBAIONDO;EUSKALDUNES,POBLACION EN GENERAL,JUVENTUD/ESTUDIANTES,ADULTOS/AS;BARRIO,TIEMPO LIBRE,CULTURA,SOCIEDAD;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIVIDADES DE ANIMACION,FIESTAS,EXPOSICIONES;SERVICIOS A LOS SOCIOS;OTROS;
ASOC CULTURAL BEGOÑAKO SUSTRAIAK;GUISASOLA JUAN                                                                             5         4;48004;944126703;;abel_charcan@hotmail.com;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS,CORO;CREACION ARTISTICA;SERVICIOS A LOS CIUDADANOS;
ASOC DE DOBLE CAÑA DE EUSKADI PARA EL FOMENTO DE ACTIVIDADES RELACIONADAS CON EL OBOE Y EL FAGOT;ARESTI GABRIEL                                                                             36        5  C;48004;656721356;;oboefagoteuskadi@gmail.com;ASOCIACION;BILBAO;OTROS;CULTURA,EDUCACIÓN Y EMPLEO;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,REPRESEN/RECITALES/CONCIERTOS,COLABORACION CON OTRAS ASOCIAC;CREACION ARTISTICA;EDUCAR;
ASOC MALLONA BERRIA KULTUR ELKARTEA;CRUZ DE LA                                                                                     30;48006;661136961;;mallonaberriakulturelkartea@gmail.com;ASOCIACION;DISTRITO 4  BEGOÑA;POBLACION EN GENERAL;BARRIO;FIESTAS;OTROS;;
ASOC SOCIOCULTURAL FILOHELENA PERIPLO;ZAMACOLA                                                                                         22     IZ 6  C;48003;663684013;;info@asociacionperiplo.es;ASOCIACION;ESTADO;POBLACION EN GENERAL;CULTURA,SOCIEDAD;VISITAS CULTURALES/EXCURSIONES,COLABORACION CON OTRAS ASOCIAC,PROYECCIONES,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,JORNADAS TEMATICAS/CERTAMENES,EXPOSICIONES;PROMOCION;;
FEDERACION GENTES DEL MUNDO;RONDA                                                                                               0         2;48005;615454909;;gentesdelmundo1@gmail.com;FEDERACION;COMUNIDAD AUTONOMA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,SENSIBILIZACION:CONCEN,MANIF,PROYECTOS DE COOPERACION;OTROS;;
ASOC BILBOKO BOLINTXU KULTURA ELKARTEA;ZAMACOLA                                                                                         120    YN 2;48003;622928345;;bolintxu@gmail.com;ASOCIACION;DISTRITO 5 IBAIONDO;EUSKALDUNES,POBLACION EN GENERAL,INFANCIA Y JUVENTUD,PADRES Y MADRES/FAMILIAS;CULTURA,SOCIEDAD;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,ACTIVIDADES DE ANIMACION,FIESTAS,COLABORACION CON OTRAS ASOCIAC,GRUPOS FOLKLORICOS;NORMALIZACION;PROMOCION;
ASOCIACION PLATAFORMA CULTURAL FEDERIKO EZKERRA;IBAÑEZ DE BILBAO                                       3         4;48001;616855717;;federikoezkerra@federikoezkerra.com;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIVIDADES DE ANIMACION,FIESTAS;SERVICIOS A LOS CIUDADANOS;CREACION ARTISTICA,PROMOCION;
CESAL;VICTOR DEL                                                                                     2         1;48005;902242902;;euskadi@cesal.org;ASOCIACION;COMUNIDAD AUTONOMA,ESTADO,INTERNACIONAL;MUJER,AFECTADOS/ENFERMOS/AS,MARGINADOS/EXCLUIDOS/AS,POBLACION EN GENERAL,INFANCIA Y JUVENTUD,ADULTOS/AS,PADRES Y MADRES/FAMILIAS;COOPERACIÓN INTERNACIONAL;DIVULGACION:CHARLAS,CAMPAÑAS,SENSIBILIZACION:CONCEN,MANIF,PROYECTOS DE COOPERACION;SOLIDARIDAD;;
ASOC DE DESARROLLO Y SOLIDARIDAD DE LOS ANGLOFONOS DE CAMERUN EN EL PAIS VASCO;SAN FRANCISCO                                                                               26;48003;632004926;;ads-acp@hotmail.com;ASOCIACION;BIZKAIA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL,CULTURA,DEPORTIVAS,SOCIEDAD;AYUDA ESCOLAR,SERVICIO ATENCION/ASISTENCIA;SOLIDARIDAD;SERVICIOS A LOS CIUDADANOS;
ASOC INTEGRATIVA LANEAN PARA EL BIENESTAR REHABILITACION Y DESARROLLO INDIVIDUAL SOCIAL Y ORGANIZACIONAL EN EUSKADI;CORTES PEDRO MEDICO MUN.                                                         1         02 A;48006;615788519;;info@lanean.es;ASOCIACION;COMUNIDAD AUTONOMA;PADRES Y MADRES/FAMILIAS,MUJER,MARGINADOS/EXCLUIDOS/AS,POBLACION EN GENERAL,INFANCIA,ADULTOS/AS;INTERVENCIÓN SOCIAL,EDUCACIÓN Y EMPLEO;TERAPIAS /REHABILITACION,AYUDA SOCIAL,AYUDA ESCOLAR,INFO/ORIENT EMPLEO Y FORMACION,COLABORACION CON OTRAS ASOCIAC;EDUCAR;OTROS,SERVICIOS A LOS CIUDADANOS;
ASOC DE FLAMENCO AZAHAR;SERANTES                                                                                         3;48002;680976345;;asociaciondeflamencoazahar@gmail.com;ASOCIACION;DISTRITO 7 REKALDE;POBLACION EN GENERAL;CULTURA;SERV.INFORMACION/ASESORAMIENTO;OTROS;;
ASOC DE PERSONAS SORDAS Y SIGNANTES DE BILBAO BIZEGOR;CONCHA GENERAL                                                                             11        7;48010;626876038;;bizegor@gmail.com;ASOCIACION;BILBAO;MINUSVALIDOS/AS;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,ACTIVIDADES DE ANIMACION,LUGAR DE ENCUENTRO,VISITAS CULTURALES/EXCURSIONES,SENSIBILIZACION:CONCEN,MANIF,AYUDA SOCIAL,SERVICIOS PROFESIONALES,PROG.INSERCION LABORAL Y/O SOC,GRUPOS DE AUTOAPOYO,COMPETICIONES DEPORTIVAS;SERVICIOS A LOS SOCIOS;;
ASOC DE APOYO A LA MUJER MUTOTO WA MAMA / HIJAS DE MI MADRE;ZABALA BRUNO MAURICIO                                                               40        3  I;48003;677876261;;;ASOCIACION;BIZKAIA,COMUNIDAD AUTONOMA,BILBAO;MUJER,POB. INMIGRANTE Y AUTOCTONA,MARGINADOS/EXCLUIDOS/AS,POBLACION EN GENERAL,SOCIOS/AS;INTERVENCIÓN SOCIAL,SOCIEDAD;DIVULGACION:CHARLAS,CAMPAÑAS,SENSIBILIZACION:CONCEN,MANIF,AYUDAS MATERIALES,COLABORACION CON OTRAS ASOCIAC,PROYECTOS DE COOPERACION;EDUCAR;AYUDA MUTUA,PROTECCION,SOLIDARIDAD,CREACION DE OPINION,SERVICIOS A LOS SOCIOS,PREVENCION,ESTUDIOS/INVESTIGACION;
ASOC PARA LA PROMOCION DE LOS BARRIOS HISTORICOS DE BILBAO BILBAOHISTORIKO ELKARTEA;SAN FRANCISCO                                                                               32        BJ;48003;946793379;;fundacion@bilbaohistoriko.org;ASOCIACION;DISTRITO 5 IBAIONDO;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL,SOCIEDAD;SERV.INFORMACION/ASESORAMIENTO,REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,EXPOSICIONES,SENSIBILIZACION:CONCEN,MANIF,COLABORACION CON OTRAS ASOCIAC,VISITAS GUIADAS,PROG.INSERCION LABORAL Y/O SOC,PUBLICACIONES;PROMOCION;NORMALIZACION,OTROS,SERVICIOS A LOS CIUDADANOS;
ASOC VIZCAINA DE PERSONAS CON DIVERSIDAD FUNCIONAL VISUAL PARA EL DESARROLLO DE UNA SOCIEDAD INCLUSIVA Y DIVERSA AUKERA BARRIA;AGUIRRE LEHENDAKARI                                                                   137       7  C;48015;677384154;;aukerabarria@hotmail.com;ASOCIACION;BIZKAIA;MINUSVALIDOS/AS;SALUD;SERVICIO DE ATENCION INMEDIATA,ACOMPAÑAMIENTO,SERVICIO ESTADISTICO/DE DATOS,VISITAS GUIADAS,SERVICIO ATENCION/ASISTENCIA,SERVICIO ATENCION A LA MUJER,PROG.INSERCION LABORAL Y/O SOC,PROYECCIONES,PUBLICACIONES,SERVICIOS SOCIOEDUCATIVOS,REVISTA,COLABORACION CON PUBLICACIONES,GRUPOS DE AUTOAPOYO,INFORM. Y/O FORM. VOLUNTARIOS,PROYECTOS DE COOPERACION,PERROS PARA INVIDENTES,SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,FIESTAS,EXPOSICIONES,ASESORIA JURIDICA,LUGAR DE ENCUENTRO,CAMPOS DE TRABAJO,VISITAS CULTURALES/EXCURSIONES,SENSIBILIZACION:CONCEN,MANIF,SERVICIO DE ORIENTACION,SERVICIO DE TRANSPORTE,AYUDAS MATERIALES,CENTRO DE DOCUMENTACION,AYUDA SOCIAL,MEDIACION FAMILIAR,MEDIACION EN CONFLICTOS,MEDIACION ESCOLAR,INFO/ORIENT EMPLEO Y FORMACION,RECURSOS/FONDO BIBLIOGRAFICO,AUTOEMPLEO/CREACION DE EMPRESA,COLABORACION CON OTRAS ASOCIAC;NORMALIZACION;;
ASOCIACION DE FIESTAS IKATZI;ORTIZ ALFAU ANGEL                                                                       4         1  C;48003;606319119;;iiam303@yahoo.es;ASOCIACION;DISTRITO 5 IBAIONDO;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES,ACTIVIDADES DE ANIMACION,FIESTAS,REPRESEN/RECITALES/CONCIERTOS,BAILES,EXPOSICIONES;SERVICIOS A LOS CIUDADANOS;;
ASOC BILBAINA DE ACTIVIDADES CULTURALES DE OCIO ABACO;KIRIKIÑO                                                                                         70        07 D;48012;627772506;;contacto@abacobilbao.org;ASOCIACION;BIZKAIA,BILBAO;PADRES Y MADRES/FAMILIAS,POBLACION EN GENERAL,INFANCIA Y JUVENTUD,ADULTOS/AS;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,LUGAR DE ENCUENTRO,LUDOTECA;PROMOCION;SERVICIOS A LOS CIUDADANOS;
MQADB ASOC DE MUJERES QUE AMAN DEMASIADO DE BILBAO VIOLENCIA DE GENERO;ZABALA BRUNO MAURICIO                                                               7         02 D;48003;625706370;;planesdeigualdad@gmail.com;ASOCIACION;BILBAO;MUJER;INTERVENCIÓN SOCIAL;SERVICIO ATENCION/ASISTENCIA;PROTECCION;;
ASOC SAN MAMES ZAHARRA PEÑA DEL ATHLETIC;ARSUAGA                                                                                           0;48004;675704258;;sanmameszaharra@hotmail.com;ASOCIACION;BILBAO;POBLACION EN GENERAL;DEPORTIVAS;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS,COLABORACION CON OTRAS ASOCIAC,COMPETICIONES DEPORTIVAS;OTROS;;
ASOC PARA EL DESARROLLO Y LA ESTIMULACION INFANTIL LAZTANA;SOMOSIERRA ALTO                                                                           3         03;48012;677989372;;asociacionlaztana@gmail.com;ASOCIACION;BIZKAIA;INFANCIA;SALUD;SERVICIOS SOCIOEDUCATIVOS;SOLIDARIDAD;AYUDA MUTUA,CREACION DE OPINION,SERVICIOS A LOS SOCIOS;
ASOC NO GUBERNAMENTAL DE AYUDA AL TERCER MUNDO IQUITANZ DE LUJUA;IPARRAGUIRRE                                           24;48009;944533308;944710248;victor.ortega@bizkaia.net;ASOCIACION;BIZKAIA;JUVENTUD/ESTUDIANTES,INFANCIA Y JUVENTUD,TERCERA EDAD,MUJER,MARGINADOS/EXCLUIDOS/AS,POBLACION EN GENERAL,OTROS,INFANCIA;INTERVENCIÓN SOCIAL,COOPERACIÓN INTERNACIONAL;PUBLICACIONES,PROYECTOS DE COOPERACION,COMERCIO JUSTO,DIVULGACION:CHARLAS,CAMPAÑAS,CAMPOS DE TRABAJO,SENSIBILIZACION:CONCEN,MANIF,COLABORACION CON OTRAS ASOCIAC;SOLIDARIDAD;AYUDA MUTUA,PROTECCION,OTROS,PROMOCION;
ASOC DE MEDIACION DE EUSKADI -AMEKADI-;ARANA SABINO                                                                                 63     DR 01 A;48012;619382713;;maitane_ortega@hotmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;MEDIACION ESCOLAR,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,MEDIACION FAMILIAR,MEDIACION EN CONFLICTOS;OTROS;;
ASOC RED DE CASAS DE LA MUSICA - EUSKALHERRIKO MUSIKA ETXE SAREA ELKARTEA;JIMENEZ FERNANDO MIEMBRO DYA                                                 14        LJ;48004;944730845;;emankor@emankorsarea.org;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,REPRESEN/RECITALES/CONCIERTOS,INFO/ORIENT EMPLEO Y FORMACION,PROYECTOS DE COOPERACION;SERVICIOS A LOS CIUDADANOS;;
ASOC VASCA DEL SINDROME SANFILIPPO VASS;ECHEVARRIETA COSME                                     13        3;48009;630922015;;naiaraandoin@gmail.com;ASOCIACION;ESTADO;POBLACION EN GENERAL,INFANCIA,INFANCIA Y JUVENTUD,PADRES Y MADRES/FAMILIAS;SALUD,CULTURA,DEPORTIVAS,SOCIEDAD;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,JORNADAS TEMATICAS/CERTAMENES,ACTIVIDADES DE ANIMACION,FIESTAS,REPRESEN/RECITALES/CONCIERTOS,SENSIBILIZACION:CONCEN,MANIF,TERAPIAS /REHABILITACION,AYUDA SOCIAL;SOLIDARIDAD;;
ASOC DE TRABAJADORES/AS EN PARO DEL DISTRITO 1 LANERA;ARANEKOBIDEA                                                                                 37;48014;644051669;;laneradistrito1@gmail.com;ASOCIACION;DISTRITO 1 DEUSTO;PARADOS/AS,JUVENTUD/ESTUDIANTES,ADULTOS/AS;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS;OTROS;;
ASOC EL MONSTRUITO;ITURRIBIDE                                                                                     84        4  C;48006;645739832;;info@elmonstruito.com;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;INFANCIA Y JUVENTUD,ADULTOS/AS,MUJER,EUSKALDUNES,POBLACION EN GENERAL,PROFESIONALES,SOCIOS/AS;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,EXPOSICIONES,LUGAR DE ENCUENTRO,VISITAS CULTURALES/EXCURSIONES,CENTRO DE DOCUMENTACION,RECURSOS/FONDO BIBLIOGRAFICO,SERVICIOS PROFESIONALES,COLABORACION CON OTRAS ASOCIAC,PROYECCIONES,PUBLICACIONES,PROYECCION DE CORTOMETRAJES,PROYECTOS DE COOPERACION;CREACION ARTISTICA;AYUDA MUTUA,EDUCAR,SERVICIOS A LOS SOCIOS,SERVICIOS A LOS CIUDADANOS;
ASOC BIRBANA ORGANIZACION PARA LA IGUALDAD DE DERECHOS Y LA REDISTRIBUCION DE LOS RECURSOS;NUEVA                                                                                               5         3;48005;691780637;;birbanabizkaia@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;OTROS,HOMBRES,MUJER;INTERVENCIÓN SOCIAL,SOCIEDAD,COOPERACIÓN INTERNACIONAL;SENSIBILIZACION:CONCEN,MANIF,PROYECTOS DE COOPERACION;SOLIDARIDAD;OTROS;
ASOC CONTRA LA EXCLUSION SOCIAL LA POSADA DE LOS ABRAZOS BESARKATUZ GIZARTE BAZTERKETAREN AURKAKO ELKARTEA DE BILBAO;GIMNASIO                                                                                         8         1  A;48003;944153948;;posadadelosabrazos@gmail.com;ASOCIACION;BIZKAIA;MUJER,AFECTADOS/ENFERMOS/AS,POB. INMIGRANTE Y AUTOCTONA,MARGINADOS/EXCLUIDOS/AS,MONOPARENTALES;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,JORNADAS TEMATICAS/CERTAMENES,LUGAR DE ENCUENTRO,PISO ACOGIDA/VIVIENDA TUTELADA,SENSIBILIZACION:CONCEN,MANIF,SERVICIO DE ORIENTACION,AYUDAS MATERIALES,AYUDA SOCIAL,INFO/ORIENT EMPLEO Y FORMACION,COLABORACION CON OTRAS ASOCIAC,ACOMPAÑAMIENTO,SERVICIO ATENCION A LA MUJER,PROG.INSERCION LABORAL Y/O SOC,SERVICIOS SOCIOEDUCATIVOS,COLABORACION CON PUBLICACIONES,INFORM. Y/O FORM. VOLUNTARIOS;SOLIDARIDAD;PROTECCION,EDUCAR,PROMOCION,SERVICIOS A LOS CIUDADANOS,PREVENCION,ESTUDIOS/INVESTIGACION;
ASOC AUNAR ELKARTEA LUCHA CONTRA LA POBREZA Y EXCLUSION SOCIAL;IKASTALDE                                                                                       1         BJ;48013;944278755;;aunarelkartea@gmail.com;ASOCIACION;BIZKAIA;MUJER,POB. INMIGRANTE Y AUTOCTONA,MARGINADOS/EXCLUIDOS/AS,HOMBRES,TERCERA EDAD;INTERVENCIÓN SOCIAL,SOCIEDAD,EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS,AYUDA DOMICILIARIA,ACOMPAÑAMIENTO,INFORM. Y/O FORM. VOLUNTARIOS;SOLIDARIDAD;OTROS,SERVICIOS A LOS CIUDADANOS;
APA DE LA IKASTOLA BEGOÑAZPI DE BILBAO;GALINDEZ JESUS                                                                             15;48004;944005300;;gurasoelkartea@begonazpi.org;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ESCUELA DE PADRES/MADRES,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,ACTIVIDADES DE ANIMACION;EDUCAR;;
ASOC COMISION DE FIESTAS DE ARANGOITI TXAPEL JAIAK DE BILBAO;ARANEKO                                                                                           17        LJ;48014;679342003;;txapeljaiak@gmail.com;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;BARRIO,CULTURA,DEPORTIVAS;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS,COLABORACION CON OTRAS ASOCIAC;OTROS;;
ASOC CULTURAL DE MUJERES ASPASIA DE BILBAO;SAN FRANCISCO                                                                               85        EN;48003;671400670;;asociacion.aspasia@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;MUJER;SOCIEDAD;SENSIBILIZACION:CONCEN,MANIF;PROMOCION;;
ASOC CULTURAL NUNCAMAS!;RODRIGUEZ ARIAS                                        48        6;48013;645005273;;gorka.thinkcore@gmail.com;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS;SERVICIOS A LOS CIUDADANOS;CREACION ARTISTICA;
ASOCIACION HEBER HEZKUNTZATIK BERDINTASUNERA - EDUCACION PARA LA IGUALDAD;DIAZ DE HARO MARIA                                     45        4;48010;605774957;;javiheber@gmail.com;ASOCIACION;DISTRITO 1 DEUSTO,DISTRITO 2 URIBARRI,DISTRITO 6 ABANDO,DISTRITO 7 REKALDE,DISTRITO 8 BASURTO-ZORROZA;POBLACION EN GENERAL,INFANCIA,PROFESIONALES,PADRES Y MADRES/FAMILIAS;INTERVENCIÓN SOCIAL,TIEMPO LIBRE,EDUCACIÓN Y EMPLEO,PROFESIONALES;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,AYUDA DOMICILIARIA,SENSIBILIZACION:CONCEN,MANIF,MEDIACION FAMILIAR,MEDIACION EN CONFLICTOS,MEDIACION ESCOLAR,AYUDA ESCOLAR,ACOMPAÑAMIENTO,ESCUELA DE PADRES/MADRES;PREVENCION;EDUCAR,PROMOCION,SERVICIOS A LOS CIUDADANOS,ESTUDIOS/INVESTIGACION;
